"quantity","rate","type","meter-type","meter-label","datetime"
"0","281","electric","Slimme meter","Kerk Liander (E)","31-12-2018"
"0","282","electric","Slimme meter","Kerk Liander (E)","31-12-2018"
"24.409","182","electric","Slimme meter","Kerk Liander (E)","31-12-2018"
"70.529","181","electric","Slimme meter","Kerk Liander (E)","31-12-2018"
"121.53","180","gas","Slimme meter","Kerk Liander (G)","31-12-2018"
"72.533","181","electric","Slimme meter","Kerk Liander (E)","01-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","01-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","01-01-2019"
"35.37","182","electric","Slimme meter","Kerk Liander (E)","01-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","02-01-2019"
"78.207","181","electric","Slimme meter","Kerk Liander (E)","02-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","02-01-2019"
"35.37","182","electric","Slimme meter","Kerk Liander (E)","02-01-2019"
"80.501","181","electric","Slimme meter","Kerk Liander (E)","03-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","03-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","03-01-2019"
"38.724","182","electric","Slimme meter","Kerk Liander (E)","03-01-2019"
"43.099","182","electric","Slimme meter","Kerk Liander (E)","04-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","04-01-2019"
"82.956","181","electric","Slimme meter","Kerk Liander (E)","04-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","04-01-2019"
"85.144","181","electric","Slimme meter","Kerk Liander (E)","05-01-2019"
"46.258","182","electric","Slimme meter","Kerk Liander (E)","05-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","05-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","05-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","06-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","06-01-2019"
"46.258","182","electric","Slimme meter","Kerk Liander (E)","06-01-2019"
"119.07","181","electric","Slimme meter","Kerk Liander (E)","06-01-2019"
"46.258","182","electric","Slimme meter","Kerk Liander (E)","07-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","07-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","07-01-2019"
"167.763","181","electric","Slimme meter","Kerk Liander (E)","07-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","08-01-2019"
"174.776","181","electric","Slimme meter","Kerk Liander (E)","08-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","08-01-2019"
"58.465","182","electric","Slimme meter","Kerk Liander (E)","08-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","09-01-2019"
"183.503","181","electric","Slimme meter","Kerk Liander (E)","09-01-2019"
"71.184","182","electric","Slimme meter","Kerk Liander (E)","09-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","09-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","10-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","10-01-2019"
"84.188","182","electric","Slimme meter","Kerk Liander (E)","10-01-2019"
"194.114","181","electric","Slimme meter","Kerk Liander (E)","10-01-2019"
"97.858","182","electric","Slimme meter","Kerk Liander (E)","11-01-2019"
"205.284","181","electric","Slimme meter","Kerk Liander (E)","11-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","11-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","11-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","12-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","12-01-2019"
"108.55","182","electric","Slimme meter","Kerk Liander (E)","12-01-2019"
"213.837","181","electric","Slimme meter","Kerk Liander (E)","12-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","13-01-2019"
"232.594","181","electric","Slimme meter","Kerk Liander (E)","13-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","13-01-2019"
"108.55","182","electric","Slimme meter","Kerk Liander (E)","13-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","14-01-2019"
"108.55","182","electric","Slimme meter","Kerk Liander (E)","14-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","14-01-2019"
"259.583","181","electric","Slimme meter","Kerk Liander (E)","14-01-2019"
"268.128","181","electric","Slimme meter","Kerk Liander (E)","15-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","15-01-2019"
"120.431","182","electric","Slimme meter","Kerk Liander (E)","15-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","15-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","16-01-2019"
"134.381","182","electric","Slimme meter","Kerk Liander (E)","16-01-2019"
"279.027","181","electric","Slimme meter","Kerk Liander (E)","16-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","16-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","17-01-2019"
"153.035","182","electric","Slimme meter","Kerk Liander (E)","17-01-2019"
"287.2","181","electric","Slimme meter","Kerk Liander (E)","17-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","17-01-2019"
"167.711","182","electric","Slimme meter","Kerk Liander (E)","18-01-2019"
"297.776","181","electric","Slimme meter","Kerk Liander (E)","18-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","18-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","18-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","19-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","19-01-2019"
"184.861","182","electric","Slimme meter","Kerk Liander (E)","19-01-2019"
"311.134","181","electric","Slimme meter","Kerk Liander (E)","19-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","20-01-2019"
"184.861","182","electric","Slimme meter","Kerk Liander (E)","20-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","20-01-2019"
"345.122","181","electric","Slimme meter","Kerk Liander (E)","20-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","21-01-2019"
"386.941","181","electric","Slimme meter","Kerk Liander (E)","21-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","21-01-2019"
"184.861","182","electric","Slimme meter","Kerk Liander (E)","21-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","22-01-2019"
"203.369","182","electric","Slimme meter","Kerk Liander (E)","22-01-2019"
"404.372","181","electric","Slimme meter","Kerk Liander (E)","22-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","22-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","23-01-2019"
"420.188","181","electric","Slimme meter","Kerk Liander (E)","23-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","23-01-2019"
"226.229","182","electric","Slimme meter","Kerk Liander (E)","23-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","24-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","24-01-2019"
"245.769","182","electric","Slimme meter","Kerk Liander (E)","24-01-2019"
"433.997","181","electric","Slimme meter","Kerk Liander (E)","24-01-2019"
"447.564","181","electric","Slimme meter","Kerk Liander (E)","25-01-2019"
"263.813","182","electric","Slimme meter","Kerk Liander (E)","25-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","25-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","25-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","26-01-2019"
"282.962","182","electric","Slimme meter","Kerk Liander (E)","26-01-2019"
"460.511","181","electric","Slimme meter","Kerk Liander (E)","26-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","26-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","27-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","27-01-2019"
"282.962","182","electric","Slimme meter","Kerk Liander (E)","27-01-2019"
"478.846","181","electric","Slimme meter","Kerk Liander (E)","27-01-2019"
"505.116","181","electric","Slimme meter","Kerk Liander (E)","28-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","28-01-2019"
"282.962","182","electric","Slimme meter","Kerk Liander (E)","28-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","28-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","29-01-2019"
"296.373","182","electric","Slimme meter","Kerk Liander (E)","29-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","29-01-2019"
"515.837","181","electric","Slimme meter","Kerk Liander (E)","29-01-2019"
"312.34","182","electric","Slimme meter","Kerk Liander (E)","30-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","30-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","30-01-2019"
"528.795","181","electric","Slimme meter","Kerk Liander (E)","30-01-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","31-01-2019"
"330.147","182","electric","Slimme meter","Kerk Liander (E)","31-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","31-01-2019"
"542.358","181","electric","Slimme meter","Kerk Liander (E)","31-01-2019"
"143.9","180","gas","Slimme meter","Kerk Liander (G)","01-01-2019"
"149.27","180","gas","Slimme meter","Kerk Liander (G)","02-01-2019"
"157.88","180","gas","Slimme meter","Kerk Liander (G)","03-01-2019"
"165.02","180","gas","Slimme meter","Kerk Liander (G)","04-01-2019"
"167.65","180","gas","Slimme meter","Kerk Liander (G)","05-01-2019"
"170.7","180","gas","Slimme meter","Kerk Liander (G)","06-01-2019"
"205.09","180","gas","Slimme meter","Kerk Liander (G)","07-01-2019"
"205.09","180","gas","Slimme meter","Kerk Liander (G)","08-01-2019"
"216.8","180","gas","Slimme meter","Kerk Liander (G)","09-01-2019"
"225.51","180","gas","Slimme meter","Kerk Liander (G)","10-01-2019"
"228.24","180","gas","Slimme meter","Kerk Liander (G)","11-01-2019"
"231.6","180","gas","Slimme meter","Kerk Liander (G)","12-01-2019"
"235","180","gas","Slimme meter","Kerk Liander (G)","13-01-2019"
"269.9","180","gas","Slimme meter","Kerk Liander (G)","14-01-2019"
"269.9","180","gas","Slimme meter","Kerk Liander (G)","15-01-2019"
"282.1","180","gas","Slimme meter","Kerk Liander (G)","16-01-2019"
"314.49","180","gas","Slimme meter","Kerk Liander (G)","17-01-2019"
